sale_line_id,sale_date,store_id,product_id,quantity,unit_price,promotion_code,payment_method
L00140,2026-04-11,S01,P013,1,135000,PROMO20,Transfer
L00141,2026-02-26,S01,P001,1,145000,PROMO10,Card
L00142,2026-02-27,S01,P004,3,390000,,Transfer
L00143,2026-03-20,S01,P010,1,115000,,Cash
L00144,2026-03-09,S01,P013,2,135000,,Card
L00145,2026-03-21,S01,P012,1,35000,,Transfer
L00146,2026-04-30,S01,P013,1,135000,,Transfer
L00147,2026-03-01,S01,P008,1,78000,,Transfer
L00148,2026-04-29,S01,P007,1,310000,,Cash
L00149,2026-02-13,S01,P011,2,138000,,Cash
L00150,2026-03-24,S01,P007,2,310000,,Cash
L00151,2026-04-18,S01,P003,3,175000,,Card
L00152,2026-02-27,S01,P007,3,310000,,Cash
L00153,2026-03-04,S01,P009,4,92000,,Card
L00154,2026-04-09,S01,P009,2,92000,,Transfer
L00155,2026-02-13,S01,P004,1,390000,,Cash
L00156,2026-04-07,S01,P014,2,198000,,Card
L00157,2026-04-23,S01,P013,1,135000,,Cash
L00158,2026-04-21,S01,P008,2,78000,,Card
L00159,2026-02-26,S01,P013,1,135000,,Card
L00160,2026-04-22,S01,P013,1,135000,PROMO20,Transfer
L00161,2026-03-14,S01,P008,2,78000,,Cash
L00162,2026-02-02,S01,P013,3,135000,,Card
L00163,2026-02-16,S01,P001,3,145000,,Card
L00164,2026-04-28,S01,P008,1,78000,,Cash
L00165,2026-04-22,S01,P003,1,175000,,Cash
L00166,2026-04-22,S01,P010,2,115000,,Cash
L00167,2026-04-20,S01,P003,1,175000,,Transfer
L00168,2026-02-11,S01,P006,1,165000,,Cash
L00169,2026-03-21,S01,P010,2,115000,,Card
L00170,2026-04-26,S01,P006,2,165000,,Card
L00171,2026-02-12,S01,P013,4,135000,,Cash
L00172,2026-04-09,S01,P011,2,138000,,Transfer
L00173,2026-04-16,S01,P008,4,78000,,Card
L00174,2026-02-19,S01,P011,1,138000,,Card
L00175,2026-03-01,S01,P012,1,35000,,Card
L00176,2026-02-01,S01,P003,2,175000,,Transfer
L00177,2026-03-19,S01,P006,1,165000,,Transfer
L00178,2026-02-25,S01,P003,4,175000,,Cash
L00179,2026-02-05,S01,P004,1,390000,,Transfer
L00180,2026-02-07,S01,P001,2,145000,,Card
L00181,2026-04-20,S01,P013,2,135000,PROMO20,Transfer
L00182,2026-03-05,S01,P004,1,390000,PROMO15,Transfer
L00183,2026-02-14,S01,P010,1,115000,,Card
L00184,2026-03-29,S01,P002,2,285000,,Card
L00185,2026-02-22,S01,P011,3,138000,,Cash
L00186,2026-02-12,S01,P011,4,138000,,Transfer
L00187,2026-04-09,S01,P009,1,92000,,Cash
L00188,2026-02-18,S01,P009,1,92000,,Cash
L00189,2026-03-07,S01,P012,1,35000,,Card
L00190,2026-02-27,S01,P001,2,145000,,Transfer
L00191,2026-04-28,S01,P010,1,115000,,Transfer
L00192,2026-02-25,S01,P007,1,310000,,Card
L00193,2026-03-31,S01,P005,1,220000,,Cash
L00194,2026-04-08,S01,P013,3,135000,PROMO20,Card
L00195,2026-04-02,S01,P013,3,135000,,Transfer
L00196,2026-04-03,S01,P009,1,92000,,Transfer
L00197,2026-02-14,S01,P015,3,86000,,Transfer
L00198,2026-02-27,S01,P003,2,175000,,Card
L00199,2026-02-25,S01,P004,1,390000,,Cash
L00200,2026-04-16,S01,P003,2,175000,,Transfer
L00201,2026-02-28,S01,P010,1,115000,,Transfer
L00202,2026-02-26,S01,P007,1,310000,,Transfer
L00203,2026-04-05,S01,P008,3,78000,,Cash
L00204,2026-03-26,S01,P001,1,145000,,Transfer
L00205,2026-03-01,S01,P003,1,175000,,Card
L00206,2026-04-30,S01,P013,1,135000,,Card
L00207,2026-04-07,S01,P013,1,135000,PROMO20,Cash
L00208,2026-03-23,S01,P002,3,285000,,Cash
L00209,2026-02-28,S01,P008,1,78000,,Cash
L00210,2026-03-28,S01,P007,1,310000,,Card
L00211,2026-03-30,S01,P001,1,145000,,Transfer
L00212,2026-03-16,S01,P001,1,145000,,Cash
L00213,2026-03-09,S01,P013,1,135000,,Cash
L00214,2026-04-30,S01,P006,1,165000,,Card
L00215,2026-04-08,S01,P003,2,175000,,Card
L00216,2026-04-20,S01,P002,1,285000,,Card
L00217,2026-03-15,S01,P002,1,285000,,Card
L00218,2026-02-21,S01,P012,2,35000,,Transfer
L00219,2026-04-28,S01,P003,2,175000,,Transfer
L00220,2026-04-20,S01,P009,2,92000,,Transfer
L00221,2026-02-13,S01,P009,2,92000,,Cash
L00222,2026-04-09,S01,P012,1,35000,,Card
L00223,2026-03-11,S01,P008,1,78000,,Transfer
L00224,2026-02-07,S01,P005,2,220000,,Cash
L00225,2026-02-10,S01,P012,3,35000,,Transfer
L00226,2026-02-22,S01,P005,1,220000,,Card
L00227,2026-04-09,S01,P012,1,35000,,Cash
L00228,2026-02-23,S01,P004,1,390000,,Transfer
L00229,2026-04-18,S01,P010,1,115000,,Cash
L00230,2026-02-21,S01,P005,1,220000,,Cash
L00231,2026-03-21,S01,P012,1,35000,,Cash
L00232,2026-04-23,S01,P005,2,220000,,Cash
L00233,2026-04-21,S01,P012,3,35000,,Cash
L00234,2026-03-10,S01,P006,1,165000,,Transfer
L00235,2026-04-01,S01,P003,1,175000,,Cash
L00236,2026-02-11,S01,P010,1,115000,,Cash
L00237,2026-04-20,S01,P015,1,86000,,Card
L00238,2026-03-23,S01,P003,2,175000,,Transfer
L00239,2026-03-06,S01,P012,1,35000,,Cash
L00240,2026-03-23,S01,P003,3,175000,,Card
L00167,2026-04-20,S01,P003,1,175000,,Transfer
